╰─ ./profile_sec2_new 25 1
function: dot product
unit: all measurements in seconds
profiled: seq no-vec | seq auto-vec | seq loop-unrolled | split | karatsuba | avx2 | avx2 loop-unrolled | avx512 | avx512 loop-unrolled
bitsize: 25

len/func        s-novec         s-vec           s-unr           split           kara            avx2            avx2u   avx512          avx512u
90              3.370e-08       4.400e-08       2.600e-08       1.770e-08       2.100e-08       8.040e-09       7.860e-09       8.160e-09       8.240e-09
91              3.500e-08       4.450e-08       2.580e-08       1.890e-08       2.060e-08       8.230e-09       8.280e-09       8.540e-09       8.440e-09
92              3.310e-08       4.490e-08       2.740e-08       1.940e-08       2.200e-08       7.490e-09       7.200e-09       7.520e-09       7.530e-09
93              3.490e-08       4.520e-08       2.740e-08       1.890e-08       2.190e-08       7.480e-09       7.120e-09       7.570e-09       7.570e-09
94              3.600e-08       4.570e-08       2.760e-08       2.010e-08       2.230e-08       8.460e-09       8.110e-09       9.020e-09       8.860e-09
95              3.570e-08       4.680e-08       2.760e-08       2.040e-08       2.270e-08       8.380e-09       8.540e-09       8.980e-09       9.010e-09
96              3.430e-08       4.660e-08       2.900e-08       1.860e-08       2.110e-08       7.660e-09       7.090e-09       7.400e-09       7.480e-09
97              3.540e-08       4.680e-08       2.860e-08       1.880e-08       2.150e-08       7.760e-09       7.240e-09       7.700e-09       7.510e-09
98              3.750e-08       4.760e-08       2.950e-08       1.950e-08       2.180e-08       8.640e-09       8.780e-09       9.080e-09       9.110e-09
99              3.780e-08       4.770e-08       2.880e-08       2.150e-08       2.220e-08       8.860e-09       9.050e-09       9.170e-09       9.380e-09
100             3.680e-08       4.800e-08       2.920e-08       2.070e-08       2.460e-08       8.090e-09       7.780e-09       8.000e-09       8.010e-09
101             3.750e-08       4.840e-08       2.970e-08       2.010e-08       2.340e-08       8.190e-09       7.600e-09       8.340e-09       8.310e-09
102             3.810e-08       4.980e-08       3.010e-08       2.120e-08       2.360e-08       8.950e-09       9.060e-09       9.570e-09       1.020e-08
103             3.830e-08       4.800e-08       2.970e-08       2.180e-08       2.370e-08       9.050e-09       9.120e-09       1.060e-08       9.720e-09
104             3.390e-08       5.140e-08       3.080e-08       1.970e-08       2.270e-08       8.250e-09       8.060e-09       7.930e-09       8.060e-09
105             3.640e-08       5.030e-08       3.100e-08       2.060e-08       2.310e-08       8.290e-09       7.820e-09       8.300e-09       8.050e-09
106             4.090e-08       5.020e-08       3.050e-08       2.050e-08       2.270e-08       9.490e-09       9.370e-09       9.630e-09       9.700e-09
107             3.980e-08       5.070e-08       3.100e-08       2.110e-08       2.360e-08       9.590e-09       9.590e-09       1.060e-08       9.800e-09
108             3.630e-08       5.120e-08       3.170e-08       2.200e-08       2.500e-08       8.790e-09       8.470e-09       8.630e-09       8.670e-09
109             3.970e-08       5.180e-08       3.190e-08       2.140e-08       2.520e-08       8.780e-09       8.120e-09       8.870e-09       8.950e-09
110             4.030e-08       5.190e-08       3.170e-08       2.320e-08       2.510e-08       9.660e-09       9.770e-09       1.033e-08       1.030e-08
111             4.010e-08       5.180e-08       3.280e-08       2.270e-08       2.580e-08       9.860e-09       1.040e-08       1.020e-08       1.040e-08
112             4.090e-08       5.230e-08       3.240e-08       2.130e-08       2.470e-08       8.970e-09       8.660e-09       8.900e-09       8.690e-09
113             4.060e-08       5.310e-08       3.280e-08       2.130e-08       2.480e-08       8.910e-09       8.310e-09       8.810e-09       8.790e-09
114             4.130e-08       5.300e-08       3.390e-08       2.190e-08       2.510e-08       1.016e-08       1.050e-08       1.050e-08       1.010e-08
115             4.140e-08       5.350e-08       3.370e-08       2.240e-08       2.480e-08       1.040e-08       1.030e-08       1.010e-08       1.030e-08
116             4.100e-08       5.270e-08       3.470e-08       2.280e-08       2.650e-08       9.360e-09       9.010e-09       9.330e-09       9.240e-09
117             4.130e-08       5.280e-08       3.460e-08       2.270e-08       2.690e-08       9.430e-09       8.650e-09       9.500e-09       9.650e-09
118             4.310e-08       5.400e-08       3.440e-08       2.390e-08       2.680e-08       1.090e-08       1.010e-08       1.130e-08       1.120e-08
119             4.270e-08       5.610e-08       3.430e-08       2.520e-08       2.690e-08       1.020e-08       1.080e-08       1.080e-08       1.110e-08
120             4.280e-08       5.640e-08       3.530e-08       2.230e-08       2.610e-08       1.000e-08       9.220e-09       9.330e-09       9.200e-09
121             4.270e-08       5.570e-08       3.550e-08       2.250e-08       2.680e-08       9.590e-09       8.950e-09       9.350e-09       9.330e-09
122             4.400e-08       5.560e-08       3.550e-08       2.360e-08       2.650e-08       1.060e-08       1.060e-08       1.110e-08       1.110e-08
123             4.620e-08       5.630e-08       3.540e-08       2.410e-08       2.620e-08       1.120e-08       1.110e-08       1.100e-08       1.110e-08
124             4.350e-08       5.720e-08       3.640e-08       2.440e-08       2.820e-08       9.900e-09       9.550e-09       9.910e-09       1.000e-08
125             4.630e-08       5.780e-08       3.630e-08       2.400e-08       2.870e-08       1.000e-08       9.220e-09       1.011e-08       1.006e-08
126             4.570e-08       5.770e-08       3.720e-08       2.580e-08       2.830e-08       1.090e-08       1.090e-08       1.220e-08       1.200e-08
127             4.430e-08       5.810e-08       3.690e-08       2.550e-08       2.920e-08       1.110e-08       1.090e-08       1.150e-08       1.160e-08
128             4.360e-08       5.860e-08       3.800e-08       2.350e-08       2.760e-08       1.060e-08       9.610e-09       9.880e-09       9.770e-09
129             4.430e-08       5.920e-08       3.770e-08       2.480e-08       2.730e-08       1.020e-08       9.680e-09       1.000e-08       1.001e-08
130             4.840e-08       5.860e-08       3.770e-08       2.490e-08       2.800e-08       1.160e-08       1.130e-08       1.160e-08       1.190e-08
131             4.760e-08       5.820e-08       3.860e-08       2.470e-08       2.860e-08       1.150e-08       1.190e-08       1.250e-08       1.190e-08
132             4.540e-08       5.870e-08       3.870e-08       2.640e-08       2.970e-08       1.060e-08       1.040e-08       1.050e-08       1.020e-08
133             4.660e-08       6.100e-08       3.890e-08       2.540e-08       3.070e-08       1.050e-08       1.000e-08       1.090e-08       1.090e-08
134             4.920e-08       6.130e-08       3.940e-08       2.650e-08       2.980e-08       1.250e-08       1.210e-08       1.250e-08       1.230e-08
135             4.910e-08       6.090e-08       4.070e-08       2.640e-08       3.020e-08       1.200e-08       1.260e-08       1.290e-08       1.310e-08
136             4.600e-08       6.220e-08       3.980e-08       2.500e-08       2.860e-08       1.060e-08       1.110e-08       1.050e-08       1.070e-08
137             4.680e-08       6.310e-08       4.010e-08       2.510e-08       2.920e-08       1.080e-08       1.040e-08       1.030e-08       1.070e-08
138             5.100e-08       6.220e-08       3.970e-08       2.610e-08       2.980e-08       1.230e-08       1.180e-08       1.210e-08       1.250e-08
139             5.200e-08       6.190e-08       3.980e-08       2.640e-08       2.970e-08       1.210e-08       1.260e-08       1.310e-08       1.250e-08
140             4.960e-08       6.270e-08       4.100e-08       2.710e-08       3.100e-08       1.200e-08       1.120e-08       1.120e-08       1.100e-08
141             4.830e-08       6.440e-08       4.170e-08       2.700e-08       3.110e-08       1.110e-08       1.110e-08       1.110e-08       1.130e-08
142             5.100e-08       6.520e-08       4.210e-08       2.730e-08       3.150e-08       1.230e-08       1.220e-08       1.320e-08       1.320e-08
143             5.010e-08       6.500e-08       4.190e-08       2.750e-08       3.190e-08       1.240e-08       1.240e-08       1.370e-08       1.310e-08
144             4.950e-08       6.520e-08       4.190e-08       2.640e-08       3.010e-08       1.180e-08       1.110e-08       1.100e-08       1.080e-08
145             5.130e-08       6.510e-08       4.200e-08       2.690e-08       3.010e-08       1.140e-08       1.110e-08       1.070e-08       1.140e-08
146             5.240e-08       6.480e-08       4.260e-08       2.770e-08       3.070e-08       1.250e-08       1.300e-08       1.310e-08       1.350e-08
147             5.300e-08       6.610e-08       4.260e-08       2.840e-08       3.070e-08       1.270e-08       1.290e-08       1.350e-08       1.370e-08
148             4.970e-08       6.700e-08       4.300e-08       2.900e-08       3.290e-08       1.170e-08       1.160e-08       1.140e-08       1.220e-08
